,Accuracy,Precision,Recall,F1-Score,Support
Decision Tree,0.6430769230769231,0.6430769230769231,0.6430769230769231,0.6430769230769231,0.6430769230769231
Random Forest,0.7230769230769231,0.7230769230769231,0.7230769230769231,0.7230769230769231,0.7230769230769231
Balanced Random Forest,0.6670769230769231,0.6670769230769231,0.6670769230769231,0.6670769230769231,0.6670769230769231
Gradient Boosting Classifier,0.6104615384615385,0.6104615384615385,0.6104615384615385,0.6104615384615385,0.6104615384615385
